"seqnames","start","end","width","strand","gene_id","gene_type","gene_name","full_name","ENTREZID","logFC","AveExpr","P.Value","adj.P.val"
"chr4",10068089,10073019,4931,"-","ENSG00000261490.1","lncRNA","AC005674.2",NA,NA,2.19524070403918,1.22887949082802,1.7608970054448e-07,1.69642181502292e-06
"chr6",110982015,111028263,46249,"+","ENSG00000197498.13","protein_coding","RPF2","ribosome production factor 2 homolog","84154",2.15065099757006,4.87271233784863,1.40248544770316e-07,1.42512870493137e-06
"chrX",154483717,154486615,2899,"-","ENSG00000102178.13","protein_coding","UBL4A","ubiquitin like 4A","8266",-4.15200082536006,3.28216079612769,1.74458106556802e-07,1.6829729698697e-06
"chr19",18418864,18434562,15699,"+","ENSG00000130511.16","protein_coding","SSBP4","single stranded DNA binding protein 4","170463",-3.25211130238869,2.36004764744149,1.7635484085136e-07,1.69723568508268e-06
"chr6",4115689,4135597,19909,"-","ENSG00000198721.12","protein_coding","ECI2","enoyl-CoA delta isomerase 2","10455",-3.9528241947804,1.18518048296069,1.68308074234228e-07,1.63802279058884e-06
"chr15",42158701,42208316,49616,"-","ENSG00000166887.15","protein_coding","VPS39","VPS39 subunit of HOPS complex","23339",-1.47250015180566,6.00892309666601,1.26277331334766e-07,1.30991767595605e-06
"chr11",64185272,64204543,19272,"+","ENSG00000168439.17","protein_coding","STIP1","stress induced phosphoprotein 1","10963",1.83131566466392,7.81682654199027,1.22563310629308e-07,1.28356248756508e-06
"chr12",3839459,3842525,3067,"+","ENSG00000118976.5","processed_pseudogene","OTUD4P1",NA,NA,4.56227961525293,0.382057045879482,1.51354107820728e-07,1.51690359286722e-06
"chr20",35668052,35699355,31304,"-","ENSG00000244005.13","protein_coding","NFS1","NFS1 cysteine desulfurase","9054",-3.14787290583795,1.83382501602878,1.76411772404829e-07,1.69723568508268e-06
"chr11",127940913,127941654,742,"-","ENSG00000254612.2","processed_pseudogene","AP001000.1","DNAJB6 pseudogene 1","387820",1.89291976317703,4.5825817302152,1.42737199472013e-07,1.44323168355035e-06
"chr7",20217577,20221700,4124,"+","ENSG00000233834.6","lncRNA","AC005083.1","MACC1 divergent transcript","100506098",11.8598091074721,-0.875720778430466,2.46041506819808e-08,3.86285165707099e-07
"chr17",81867721,81871378,3658,"-","ENSG00000141522.12","protein_coding","ARHGDIA","Rho GDP dissociation inhibitor alpha","396",1.41549620379938,6.80740701912242,1.24197983968484e-07,1.29519459631952e-06
"chr1",205976740,206003461,26722,"-","ENSG00000276600.5","protein_coding","RAB7B","RAB7B, member RAS oncogene family","338382",-3.54500552161926,6.5361415900099,1.32883408433981e-07,1.36681443937817e-06
"chr8",38176533,38213301,36769,"+","ENSG00000156735.11","protein_coding","BAG4","BAG cochaperone 4","9530",-1.97117020881024,4.08992481745168,1.5528233893342e-07,1.54418941984511e-06
"chr7",77696459,77783022,86564,"+","ENSG00000187257.16","protein_coding","RSBN1L","round spermatid basic protein 1 like","222194",-1.99611086949508,3.10455183505329,1.66511470902412e-07,1.62607613450632e-06
"chr12",30628988,30695869,66882,"-","ENSG00000133704.10","protein_coding","IPO8","importin 8","10526",-2.1877585596974,3.88908490467275,1.61055716186023e-07,1.5859292990862e-06
"chr18",68673688,68715108,41421,"-","ENSG00000166479.10","protein_coding","TMX3","thioredoxin related transmembrane protein 3","54495",-1.16483743939494,5.11932984666313,1.39003794318664e-07,1.41677300473965e-06
"chr12",26229548,26319720,90173,"-","ENSG00000255750.6","lncRNA","AC022509.1",NA,NA,8.51127420911604,-2.96281818562289,2.32125588842116e-08,3.69708580061679e-07
"chr5",1456480,1523962,67483,"-","ENSG00000153395.10","protein_coding","LPCAT1","lysophosphatidylcholine acyltransferase 1","79888",3.06702699091179,6.21756790668095,1.33223095253691e-07,1.36833814657763e-06
"chr11",13668668,13732346,63679,"+","ENSG00000197601.13","protein_coding","FAR1","fatty acyl-CoA reductase 1","84188",-1.68473174735041,7.09837030486565,1.27849925311279e-07,1.32457714497624e-06
"chr1",161159450,161165723,6274,"+","ENSG00000143258.16","protein_coding","USP21","ubiquitin specific peptidase 21","27005",-4.23110324080796,1.9590186172831,1.83462912811689e-07,1.74858881610447e-06
"chr14",76786009,76826246,40238,"-","ENSG00000013523.11","protein_coding","ANGEL1","angel homolog 1","23357",-3.55575061775089,2.96851576645748,1.81415421731641e-07,1.73279648412134e-06
"chr4",3041422,3243960,202539,"+","ENSG00000197386.12","protein_coding","HTT","huntingtin","3064",-2.18112574586992,4.2059577758924,1.6161543115823e-07,1.58912571573134e-06
"chr8",117794490,118111826,317337,"-","ENSG00000182197.12","protein_coding","EXT1","exostosin glycosyltransferase 1","2131",5.86160543029495,3.84187155439116,1.68864207435189e-07,1.64008357010643e-06
"chr3",38165089,38255484,90396,"+","ENSG00000172939.9","protein_coding","OXSR1","oxidative stress responsive kinase 1","9943",2.09223490753906,6.94764641295306,1.30259041916711e-07,1.34563335637313e-06
"chr11",47716494,47767443,50950,"-","ENSG00000109920.13","protein_coding","FNBP4","formin binding protein 4","23360",1.29301843435481,6.81726604653673,1.28735049104744e-07,1.33181581937689e-06
"chr13",20403666,20525873,122208,"-","ENSG00000165475.15","protein_coding","CRYL1","crystallin lambda 1","51084",-1.79061568302923,3.50339511951551,1.68782943334617e-07,1.64008357010643e-06
"chrX",45746157,45746266,110,"-","ENSG00000207870.1","miRNA","MIR221","microRNA 221","407006",7.25776650215403,-1.67964833506614,3.8158361593904e-08,5.3187171911425e-07
"chr8",103414714,103443453,28740,"+","ENSG00000164934.14","protein_coding","DCAF13","DDB1 and CUL4 associated factor 13","25879",1.24527169970838,6.05387751934912,1.3422019345261e-07,1.3746264543781e-06
"chr6",158232236,158511828,279593,"+","ENSG00000130338.13","protein_coding","TULP4","TUB like protein 4","56995",-1.83556808120711,4.7833083027998,1.53930926158645e-07,1.53469025961519e-06
"chr3",47413681,47477126,63446,"-","ENSG00000114650.20","protein_coding","SCAP","SREBF chaperone","22937",-2.07247034263008,4.49188402136464,1.57437529418975e-07,1.55985435701034e-06
"chr5",83471618,83582303,110686,"+","ENSG00000038427.16","protein_coding","VCAN","versican","1462",-4.0605339078766,8.748976424379,1.33344764837325e-07,1.36860391898769e-06
"chr18",5289019,5297053,8035,"-","ENSG00000198081.11","protein_coding","ZBTB14","zinc finger and BTB domain containing 14","7541",-3.33954320614922,1.72474768028719,1.91289578170807e-07,1.80990344591147e-06
"chr19",8490056,8502640,12585,"-","ENSG00000133246.12","protein_coding","PRAM1","PML-RARA regulated adaptor molecule 1","84106",-4.0122088852545,2.14171839880307,1.89905260029519e-07,1.80038251495802e-06
"chr4",158124474,158173318,48845,"-","ENSG00000164125.15","protein_coding","GASK1B","golgi associated kinase 1B","51313",-2.98942993303363,4.72544461253115,1.61989348874698e-07,1.59170689640496e-06
"chr14",49927571,50105043,177473,"-","ENSG00000214900.11","lncRNA","LINC01588","long intergenic non-protein coding RNA 1599","196913",4.12879587707141,5.1377308789231,1.53658115548418e-07,1.53411145830905e-06
"chr9",101533853,101563344,29492,"+","ENSG00000155827.12","protein_coding","RNF20","ring finger protein 20","56254",-2.74479269922226,4.11308266969058,1.71815708556444e-07,1.66309690253789e-06
"chr14",55051647,55070194,18548,"+","ENSG00000168175.15","protein_coding","MAPK1IP1L","mitogen-activated protein kinase 1 interacting protein 1 like","93487",1.29931992499343,8.30674375065129,1.34149806668965e-07,1.3746264543781e-06
"chr12",120725774,120740008,14235,"+","ENSG00000122971.9","protein_coding","ACADS","acyl-CoA dehydrogenase short chain","35",-3.79899113846323,1.43681630121702,1.84218661602721e-07,1.75345237729386e-06
"chr6",157872571,157875210,2640,"-","ENSG00000229502.5","lncRNA","AL391863.1",NA,NA,4.70035561897371,0.670760099047857,1.79909063129424e-07,1.72160802741465e-06
"chr19",58573503,58605223,31721,"+","ENSG00000213753.11","transcribed_processed_pseudogene","CENPBD1P1","CENPB DNA-binding domains containing 2, pseudogene","65996",-1.97692439218266,3.84671914604053,1.78351052555877e-07,1.71174170707169e-06
"chr1",156404250,156456763,52514,"-","ENSG00000125462.18","protein_coding","C1orf61","MIR9-1 host gene","10485",6.52433283274701,0.998839028156603,1.49778576645935e-07,1.50484284426193e-06
"chr7",155295918,155297541,1624,"-","ENSG00000273117.1","lncRNA","AC144652.1",NA,NA,3.54307279248392,1.9613300133931,1.91994151215872e-07,1.81536759657258e-06
"chr9",127907886,127917041,9156,"-","ENSG00000136840.19","protein_coding","ST6GALNAC4","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4","27090",-4.06380591385867,2.41636749206862,1.95155380015924e-07,1.83553977240784e-06
"chr15",74445977,74461182,15206,"-","ENSG00000138629.16","protein_coding","UBL7","ubiquitin like 7","84993",-3.65370198928735,2.64278064699558,1.97509664956339e-07,1.85048748366831e-06
"chr12",49976923,50033136,56214,"-","ENSG00000161800.13","protein_coding","RACGAP1","Rac GTPase activating protein 1","29127",-3.16421114301695,1.92135788397157,1.98228817300549e-07,1.85589456931385e-06
"chr15",68206992,68257211,50220,"-","ENSG00000128973.13","protein_coding","CLN6","CLN6 transmembrane ER protein","54982",-4.14089219745002,1.54398690949016,1.82999106673178e-07,1.74649848833647e-06
"chr3",129249606,129277773,28168,"+","ENSG00000181789.14","protein_coding","COPG1","COPI coat complex subunit gamma 1","22820",1.16379756404923,7.77990449911641,1.36756735820941e-07,1.39859948795546e-06
"chr2",26308547,26395891,87345,"+","ENSG00000138018.18","protein_coding","SELENOI","selenoprotein I","85465",1.63633105099777,3.83807103542924,1.70324741713316e-07,1.65090202500553e-06
"chr4",10074339,10116949,42611,"-","ENSG00000071127.17","protein_coding","WDR1","WD repeat domain 1","9948",1.66652578687157,10.1374608155991,1.40904457603539e-07,1.43077610929763e-06
"chr15",75463251,75579315,116065,"-","ENSG00000169410.10","protein_coding","PTPN9","protein tyrosine phosphatase non-receptor type 9","5780",-1.90556184830859,5.50077665571418,1.50649294028781e-07,1.51252738144005e-06
"chr1",62436297,62451804,15508,"+","ENSG00000162607.13","protein_coding","USP1","ubiquitin specific peptidase 1","7398",-1.60809135576266,4.73595122508672,1.61068342757337e-07,1.5859292990862e-06
"chr19",51225064,51243860,18797,"+","ENSG00000105383.15","protein_coding","CD33","CD33 molecule","945",-3.12557357658941,2.37808769705825,2.00016334949006e-07,1.86895577332665e-06
"chr2",136114349,136118149,3801,"-","ENSG00000121966.7","protein_coding","CXCR4","C-X-C motif chemokine receptor 4","7852",-5.92194320337256,4.43307311786694,1.93101063898801e-07,1.82342029076151e-06
"chr1",23743155,23762059,18905,"+","ENSG00000011007.12","protein_coding","ELOA","elongin A","6924",1.1947730146213,7.06006994927754,1.38863129443903e-07,1.41677300473965e-06
"chr5",73498408,73505635,7228,"+","ENSG00000145741.15","protein_coding","BTF3","basic transcription factor 3","689",1.1809512365395,7.48420560878674,1.39029590022047e-07,1.41677300473965e-06
"chr14",103385392,103503831,118440,"+","ENSG00000075413.18","protein_coding","MARK3","microtubule affinity regulating kinase 3","4140",1.40238266622503,7.7484117561989,1.39466780036559e-07,1.41819351343937e-06
"chr3",49277144,49340712,63569,"-","ENSG00000114316.13","protein_coding","USP4","ubiquitin specific peptidase 4","7375",-1.2437106540218,7.37976783189087,1.39400161687045e-07,1.41819351343937e-06
"chr14",73275107,73458617,183511,"-","ENSG00000133961.20","protein_coding","NUMB","NUMB endocytic adaptor protein","8650",1.35730623227498,9.72586946671188,1.42540996445775e-07,1.4422685667286e-06
"chr7",44379119,44490658,111540,"-","ENSG00000015676.18","protein_coding","NUDCD3","NudC domain containing 3","23386",-2.34518029495355,3.75011395808687,1.83854717239673e-07,1.75115489680214e-06
"chr1",15152532,15220478,67947,"+","ENSG00000171729.14","protein_coding","TMEM51","transmembrane protein 51","55092",-2.23745388427662,4.961582139228,1.6032674692818e-07,1.58334556054731e-06
"chr5",140639427,140645408,5982,"+","ENSG00000113119.12","protein_coding","TMCO6","transmembrane and coiled-coil domains 6","55374",-2.41656231755425,1.89245008152256,2.05508482474608e-07,1.91027956350991e-06
"chr1",229516582,229558707,42126,"-","ENSG00000135776.5","protein_coding","ABCB10","ATP binding cassette subfamily B member 10","23456",-3.25778552857845,2.75827046201418,2.03378129640275e-07,1.894174275209e-06
"chr6",71288811,71309059,20249,"+","ENSG00000119900.9","protein_coding","OGFRL1","opioid growth factor receptor like 1","79627",2.60474916345235,7.65474576796191,1.42192551673906e-07,1.43976256964217e-06
"chr3",160495007,160565571,70565,"-","ENSG00000186432.9","protein_coding","KPNA4","karyopherin subunit alpha 4","3840",1.51180626422216,7.01705565478864,1.41593013360828e-07,1.4357270275984e-06
"chr17",42980565,42993690,13126,"+","ENSG00000198863.7","protein_coding","RUNDC1","RUN domain containing 1","146923",-1.78445925102539,4.61501957537533,1.68482001579981e-07,1.63859928970264e-06
"chr7",102456238,102464863,8626,"-","ENSG00000160993.4","protein_coding","ALKBH4","alkB homolog 4, lysine demethylase","54784",-3.56804465408549,0.830189886429526,1.80880197833367e-07,1.72974256120838e-06
"chr19",31149979,31349436,199458,"-","ENSG00000121297.8","protein_coding","TSHZ3","teashirt zinc finger homeobox 3","57616",-3.42267378139271,2.54887321722659,2.08709968194772e-07,1.92874470607937e-06
"chr2",8139335,8144950,5616,"+","ENSG00000229740.3","lncRNA","U91324.1",NA,NA,8.51825390552749,-3.2292249337327,2.85924074242671e-08,4.34112353741237e-07
"chr19",46838136,46850846,12711,"-","ENSG00000042753.12","protein_coding","AP2S1","adaptor related protein complex 2 subunit sigma 1","1175",-1.97922052719371,3.78109960289835,1.88940696085334e-07,1.7924274402199e-06
"chr12",43718993,43758817,39825,"-","ENSG00000129317.14","protein_coding","PUS7L","pseudouridine synthase 7 like","83448",-2.24908229435387,1.99727769757029,2.1031760431536e-07,1.94109018918188e-06
"chr10",133362485,133373354,10870,"-","ENSG00000127884.5","protein_coding","ECHS1","enoyl-CoA hydratase, short chain 1","1892",-2.44428269309218,4.17610400679009,1.84788055995366e-07,1.75653157418882e-06
"chr1",212557833,212559731,1899,"-","ENSG00000260805.2","lncRNA","AC092803.1",NA,NA,3.69351248645618,0.955068246526548,2.10790219233781e-07,1.94294184657615e-06
"chr3",129555175,129606818,51644,"-","ENSG00000004399.12","protein_coding","PLXND1","plexin D1","23129",-2.6861969580446,5.61861562757856,1.65005229979726e-07,1.61467789090435e-06
"chr12",64759484,64881033,121550,"+","ENSG00000111490.15","protein_coding","TBC1D30","TBC1 domain family member 30","23329",2.26984684281248,2.46225597223721,2.06423144126235e-07,1.91380107730793e-06
"chr12",6970913,6997428,26516,"+","ENSG00000126749.16","protein_coding","EMG1","EMG1 N1-specific pseudouridine methyltransferase","10436",1.2769289026994,4.42545511986558,1.69917795106146e-07,1.64807572211915e-06
"chr19",38319845,38332076,12232,"+","ENSG00000099337.5","protein_coding","KCNK6","potassium two pore domain channel subfamily K member 6","9424",-3.82336782605472,3.98331596526699,1.9603693841746e-07,1.84140679761358e-06
"chr17",7351889,7354944,3056,"+","ENSG00000213859.6","protein_coding","KCTD11","potassium channel tetramerization domain containing 11","147040",-2.0506409156037,3.63939952946509,1.93050816108799e-07,1.82342029076151e-06
"chr1",120432204,120434052,1849,"-","ENSG00000270392.2","transcribed_processed_pseudogene","PFN1P2","profilin 1 pseudogene 2","767846",4.19915048387647,-0.29769868481957,1.51959982901256e-07,1.52034473088953e-06
"chr2",7988683,8488090,499408,"-","ENSG00000236790.6","lncRNA","LINC00299","long intergenic non-protein coding RNA 299","339789",10.7883601780823,0.0850368525402737,7.98841688316608e-08,9.27863719741292e-07
"chr7",66682164,66811464,129301,"+","ENSG00000154710.17","protein_coding","RABGEF1","RAB guanine nucleotide exchange factor 1","27342",2.51245785262834,2.43625549928663,2.07505532808333e-07,1.92009815235275e-06
"chr15",39934115,40035591,101477,"+","ENSG00000128829.12","protein_coding","EIF2AK4","eukaryotic translation initiation factor 2 alpha kinase 4","440275",-2.43190905352179,3.71461182344737,1.94070181387185e-07,1.82976048019174e-06
"chr17",44345246,44353106,7861,"+","ENSG00000030582.18","protein_coding","GRN","granulin precursor","2896",-1.63729910167294,9.65895296385136,1.51403690307878e-07,1.51690359286722e-06
"chr17",7173431,7179564,6134,"-","ENSG00000141505.12","protein_coding","ASGR1","asialoglycoprotein receptor 1","432",-3.53359550030211,1.2647203341018,2.18322189492345e-07,1.99690724793671e-06
"chr1",150321479,150353233,31755,"+","ENSG00000117360.13","protein_coding","PRPF3","pre-mRNA processing factor 3","9129",1.33281466192743,6.08545486359649,1.53913074156603e-07,1.53469025961519e-06
"chr1",39895426,39902256,6831,"-","ENSG00000116990.11","protein_coding","MYCL","MYCL proto-oncogene, bHLH transcription factor","4610",-4.17435913468482,2.83842048577471,2.14115934844484e-07,1.97105306773398e-06
"chr8",17922840,18029944,107105,"+","ENSG00000078674.17","protein_coding","PCM1","pericentriolar material 1","5108",-1.53935344065234,5.5969671501118,1.60909305678904e-07,1.5859292990862e-06
"chr1",966482,975865,9384,"+","ENSG00000187583.11","protein_coding","PLEKHN1","pleckstrin homology domain containing N1","84069",3.43287362552407,2.70601475865179,2.08081405296293e-07,1.92418060677549e-06
"chr17",7225342,7234517,9176,"-","ENSG00000004975.12","protein_coding","DVL2","dishevelled segment polarity protein 2","1856",-2.85157972698221,2.52077581516142,2.21291365266598e-07,2.01889510572407e-06
"chr22",23179704,23318037,138334,"+","ENSG00000186716.21","protein_coding","BCR","BCR activator of RhoGEF and GTPase","613",-2.64684803000874,2.98097014607588,2.17354033944214e-07,1.9918775387819e-06
"chr2",223855716,223945357,89642,"-","ENSG00000085449.15","protein_coding","WDFY1","WD repeat and FYVE domain containing 1","57590",2.11472758148878,6.54271666972588,1.55057356605735e-07,1.54376616991368e-06
"chr16",29806106,29811164,5059,"+","ENSG00000103495.14","protein_coding","MAZ","MYC associated zinc finger protein","4150",-5.11352376278319,0.206420975643568,1.13509018072981e-07,1.21294191563851e-06
"chr16",50666300,50681353,15054,"-","ENSG00000167208.15","protein_coding","SNX20","sorting nexin 20","124460",-2.38543880124313,5.14314654972312,1.81442118026565e-07,1.73279648412134e-06
"chr16",1938210,1943326,5117,"-","ENSG00000198736.11","protein_coding","MSRB1","methionine sulfoxide reductase B1","51734",-3.75680409502471,2.76494982561182,2.24866248782257e-07,2.03978672784261e-06
"chrX",12791355,12824222,32868,"+","ENSG00000101911.12","protein_coding","PRPS2","phosphoribosyl pyrophosphate synthetase 2","5634",-2.32762214892608,3.42977669645449,2.0658154185943e-07,1.91381827937433e-06
"chr10",122458551,122514907,56357,"+","ENSG00000166033.13","protein_coding","HTRA1","HtrA serine peptidase 1","5654",-3.14387135333849,4.36806856301718,2.03131340040327e-07,1.894174275209e-06
"chr16",67229387,67247481,18095,"-","ENSG00000135723.14","protein_coding","FHOD1","formin homology 2 domain containing 1","29109",-3.29067724125062,4.78211122487387,1.95692946034311e-07,1.83938494736329e-06
"chr19",36850361,36913029,62669,"+","ENSG00000251247.11","protein_coding","ZNF345","zinc finger protein 345","25850",-4.2265321130812,0.751515705689195,1.79000367148008e-07,1.71406048622225e-06
"chr12",57771492,57782541,11050,"+","ENSG00000123427.17","protein_coding","EEF1AKMT3","EEF1A lysine methyltransferase 3","25895",2.4441360781556,2.46553665767044,2.20955053031644e-07,2.01745025170432e-06
"chr16",15037854,15056079,18226,"-","ENSG00000157045.9","protein_coding","NTAN1","N-terminal asparagine amidase","123803",-2.13028240651216,2.78498840544186,2.22814979085262e-07,2.02713601445444e-06
"chr16",1771890,1773150,1261,"-","ENSG00000074071.15","protein_coding","MRPS34","mitochondrial ribosomal protein S34","65993",-3.30893911528733,1.89430586463968,2.33854726062449e-07,2.10660937657895e-06
"chr12",103965822,103988874,23053,"+","ENSG00000139372.15","protein_coding","TDG","thymine DNA glycosylase","6996",1.09596565679615,5.70148357782549,1.67292799899596e-07,1.6303630505904e-06
"chr5",69364743,69370013,5271,"-","ENSG00000273841.5","protein_coding","TAF9","TATA-box binding protein associated factor 9","6880",1.40240811711581,6.83229340586727,1.62157078169475e-07,1.59225991464419e-06
"chr9",127738317,127778710,40394,"-","ENSG00000095370.20","protein_coding","SH2D3C","SH2 domain containing 3C","10044",-5.75880499063798,2.8082796197857,2.3668266295905e-07,2.12865821547076e-06
"chr7",106865278,106908980,43703,"+","ENSG00000105851.11","protein_coding","PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","5294",-3.88991526549126,2.95972628875092,2.38346181492264e-07,2.13897732096732e-06
"chr11",119206298,119313926,107629,"+","ENSG00000110395.7","protein_coding","CBL","Cbl proto-oncogene","867",-1.68696979009561,6.90373040212131,1.65883968351038e-07,1.62216581507959e-06
"chr9",109015135,109119947,104813,"-","ENSG00000106771.13","protein_coding","TMEM245","transmembrane protein 245","23731",-1.9618822574073,3.78251825909547,2.08958041507269e-07,1.92978897156713e-06
"chr12",112938444,112973251,34808,"+","ENSG00000111331.13","protein_coding","OAS3","2'-5'-oligoadenylate synthetase 3","4940",5.28428600817995,6.93504890735726,1.74409760450496e-07,1.6829729698697e-06
"chr16",27313668,27364778,51111,"+","ENSG00000077238.14","protein_coding","IL4R","interleukin 4 receptor","3566",2.32824689490243,6.9903717908783,1.67190400056392e-07,1.6303630505904e-06
"chr1",25800176,25818221,18046,"+","ENSG00000162430.17","protein_coding","SELENON","selenoprotein N","57190",-2.27070709853443,3.4883763005954,2.2457442848879e-07,2.03843383724228e-06
"chr11",46332905,46380554,47650,"+","ENSG00000149091.15","protein_coding","DGKZ","diacylglycerol kinase zeta","8525",-1.83385512715231,4.75159343387593,1.94616532696816e-07,1.8328849061565e-06
"chr8",144449582,144465677,16096,"-","ENSG00000187954.12","protein_coding","CYHR1","zinc finger TRAF-type containing 1","50626",-1.28345473814337,4.9100418397286,1.87906183791608e-07,1.78379777264499e-06
"chr15",58771192,58861900,90709,"+","ENSG00000128923.11","protein_coding","MINDY2","MINDY lysine 48 deubiquitinase 2","54629",-2.55392651702743,2.96472299236675,2.36103472822376e-07,2.12552634922072e-06
"chr1",1059708,1069355,9648,"+","ENSG00000217801.10","transcribed_unprocessed_pseudogene","AL390719.1","uncharacterized LOC100288175","100288175",3.46283027614747,4.76744040772193,2.05762234217444e-07,1.91139469458038e-06
"chr12",62601751,62603690,1940,"-","ENSG00000221949.5","lncRNA","LINC01465","long intergenic non-protein coding RNA 1465","283416",4.41201658404307,0.980524491529402,2.44895515391681e-07,2.18131061621007e-06
"chr15",22773063,22829789,56727,"+","ENSG00000170113.16","protein_coding","NIPA1","NIPA magnesium transporter 1","123606",3.73816610659156,3.23011464836394,2.1697213714101e-07,1.98965399443749e-06
"chr1",173931084,174022357,91274,"-","ENSG00000135870.12","protein_coding","RC3H1","ring finger and CCCH-type domains 1","149041",1.08550185442271,7.33756802122189,1.67940511258873e-07,1.63555970303716e-06
"chr10",73909969,73922777,12809,"-","ENSG00000222047.8","protein_coding","C10orf55","chromosome 10 putative open reading frame 55","414236",7.27887052453568,-0.559520493598387,9.19115205301877e-08,1.03751215515774e-06
"chr3",69054730,69080408,25679,"-","ENSG00000144744.17","protein_coding","UBA3","ubiquitin like modifier activating enzyme 3","9039",-1.29038818949726,5.8380307741392,1.76813827142617e-07,1.69995905005826e-06
"chr16",89969773,89972832,3060,"-","ENSG00000177946.6","protein_coding","CENPBD1","CENPB DNA-binding domain containing 1, pseudogene","92806",-2.52474117834043,4.14367472517883,2.17608495724146e-07,1.99281758412076e-06
"chr10",91923770,92030325,106556,"+","ENSG00000095564.14","protein_coding","BTAF1","B-TFIID TATA-box binding protein associated factor 1","9044",1.22204862011795,7.24245840837621,1.69076038540858e-07,1.64102538222367e-06
"chr3",180602163,180617828,15666,"+","ENSG00000163728.11","protein_coding","TTC14","tetratricopeptide repeat domain 14","151613",-1.59940284084312,3.97877387598841,2.15286245306081e-07,1.97927579580951e-06
"chr1",145964690,145978848,14159,"+","ENSG00000121851.13","protein_coding","POLR3GL","RNA polymerase III subunit GL","84265",-3.49501026106078,0.643617040474707,2.22803852590548e-07,2.02713601445444e-06
"chr19",3172346,3180332,7987,"+","ENSG00000125910.6","protein_coding","S1PR4","sphingosine-1-phosphate receptor 4","8698",-3.56008970511545,2.81676477984663,2.41017375992021e-07,2.15888103498308e-06
"chr1",100186919,100249834,62916,"-","ENSG00000137992.14","protein_coding","DBT","dihydrolipoamide branched chain transacylase E2","1629",-2.73730527467038,1.98580354847553,2.52704397569277e-07,2.23154664815455e-06
"chr1",160678746,160711831,33086,"-","ENSG00000117091.10","protein_coding","CD48","CD48 molecule","962",2.58024957963427,5.92212780759627,1.78398782237681e-07,1.71174170707169e-06
"chr17",37686431,37745105,58675,"-","ENSG00000275410.5","protein_coding","HNF1B","HNF1 homeobox B","6928",10.3039288241361,-1.01132944060773,4.59732906614848e-08,6.08167040445031e-07
"chr6",105273220,105454062,180843,"-","ENSG00000085377.14","protein_coding","PREP","prolyl endopeptidase","5550",-2.00217145812144,4.75326221431053,2.06052715847037e-07,1.91160724110819e-06
"chr20",62642503,62685785,43283,"+","ENSG00000101187.16","protein_coding","SLCO4A1","solute carrier organic anion transporter family member 4A1","28231",7.31729540825667,3.82352384008464,2.51953471981121e-07,2.22889117906766e-06
"chr12",24902309,24904681,2373,"+","ENSG00000278969.1","TEC","AC026310.3",NA,NA,5.58448325819837,1.35612724903074,2.43205516774288e-07,2.17031681333807e-06
"chr1",246566444,246668595,102152,"+","ENSG00000162852.14","protein_coding","CNST","consortin, connexin sorting protein","163882",1.69759433995196,5.51439790830026,1.83367953005719e-07,1.74858881610447e-06
"chr17",42536241,42544449,8209,"+","ENSG00000108784.10","protein_coding","NAGLU","N-acetyl-alpha-glucosaminidase","4669",-1.73429824829637,2.97727691925491,2.4207015293143e-07,2.16424047242262e-06
"chr1",229321011,229343294,22284,"-","ENSG00000154429.11","protein_coding","CCSAP","centriole, cilia and spindle associated protein","126731",-2.38643823671981,3.49625396963282,2.31553765323579e-07,2.08983489903852e-06
"chr16",2211593,2214840,3248,"-","ENSG00000184207.9","protein_coding","PGP","phosphoglycolate phosphatase","283871",-2.48928655827632,2.99891346226734,2.46332659775791e-07,2.19001537661277e-06
"chr12",15322257,15602175,279919,"+","ENSG00000151490.15","protein_coding","PTPRO","protein tyrosine phosphatase receptor type O","5800",-6.21810926337148,2.66045598968032,2.49857572946015e-07,2.21309060426516e-06
"chr14",34515938,34539711,23774,"-","ENSG00000129518.9","protein_coding","EAPP","E2F associated phosphoprotein","55837",-1.98413234720126,4.23576151066028,2.17735581214566e-07,1.99281758412076e-06
"chr2",222424543,222562621,138079,"+","ENSG00000163082.10","protein_coding","SGPP2","sphingosine-1-phosphate phosphatase 2","130367",5.50648755606149,6.95910673352011,1.9734961129101e-07,1.85048748366831e-06
"chr12",121019111,121039242,20132,"-","ENSG00000135114.12","protein_coding","OASL","2'-5'-oligoadenylate synthetase like","8638",4.9679793022304,6.70660552483243,1.90205803133919e-07,1.80203601417394e-06
"chr3",49357176,49358358,1183,"-","ENSG00000233276.6","polymorphic_pseudogene","GPX1","glutathione peroxidase 1","2876",-2.20916500620227,7.53909800199906,1.78051441506913e-07,1.71070675508356e-06
"chr2",61065871,61138034,72164,"+","ENSG00000162929.14","protein_coding","KIAA1841","SANT and BTB domain regulator of CSR","84542",-2.75868092887401,1.88003346192006,2.65381598712626e-07,2.30907850231869e-06
"chr8",37326575,37331991,5417,"-","ENSG00000253123.4","lncRNA","AC091182.1","uncharacterized LOC100507403","100507403",5.44504557729215,2.1578838230683,2.6570673813828e-07,2.30909499256788e-06
"chr15",69160584,69272217,111634,"+","ENSG00000138604.10","protein_coding","GLCE","glucuronic acid epimerase","26035",-3.96737411570759,2.00657789276015,2.65172022951511e-07,2.30866099445962e-06
